"","toCode","fromCode","rate","dis","orgGDP","amount","Province","Population_14","Population_13","Population_12","Population_11","Population_10","Birth_Rate_14","Birth_Rate_13","Birth_Rate_12","Birth_Rate_11","Birth_Rate_10","Avg_Life_14","Avg_Life_13","Avg_Life_12","Avg_Life_11","Avg_Life_10","GDP_PC_14","GDP_PC_13","GDP_PC_12","GDP_PC_11","GDP_PC_10","Unemploy_Rate_14","Unemploy_Rate_13","Unemploy_Rate_12","Unemploy_Rate_11","Unemploy_Rate_10","City_Income_14","City_Income_13","City_Income_12","City_Income_11","City_Income_10","Country_income_14","Country_income_13","Country_income_12","Country_income_11","Country_income_10","Green_Rate_14","Green_Rate_13","Green_Rate_12","Green_Rate_11","Green_Rate_10","Disasters_14","Disasters_13","Disasters_12","Disasters_11","Disasters_10","Stu_Rate_H_14","Stu_Rate_H_13","Stu_Rate_H_12","Stu_Rate_H_11","Stu_Rate_H_10","Low_Income_14","Low_Income_13","Low_Income_12","Low_Income_11","Low_Income_10","Low_Income_Insurance_14","Low_Income_Insurance_13","Low_Income_Insurance_12","Low_Income_Insurance_11","Low_Income_Insurance_10","X","Price_Rates_14","Price_Rates_13","Price_Rates_12","Price_Rates_11","Price_Rates_10"
"47",43,12,0,"1576",85213,0,"湖南省",6737,6691,6639,6596,6570,13.52,13.5,13.58,13.35,13.1,74.7,74.7,74.7,74.7,74.7,40271,36943,33480,29880,24719,4.1,4.2,4.2,4.2,4.2,47117,42726,38971,34586,29670,10060.17,9028.55,7996.93,6965.31,5933.69,38.6,37.6,37,36.8,36.6,0,29,42,19,100,2160,2106,2087,2054,2051,145.1,145.1,145.1,145.1,145.1,214,214,214,214,214,214,101.9,102.5,102,105.5,103.1
"48",44,12,0.0256410256410256,"2197",85213,3,"广东省",10724,10644,10594,10505,10441,10.8,10.71,11.6,10.45,11.18,76.49,76.49,76.49,76.49,76.49,63469,58833,54095,50807,44736,2.4,2.4,2.5,2.5,2.5,59481,53318,50278,45060,40432,12245.56,11067.79,9890.02,8712.25,7534.48,41.4,41.5,41.2,41.1,41.3,0,45,33,2,50,2356,2199,2082,1978,2037,40,40,40,40,40,254,254,254,254,254,254,102.3,102.5,102.8,105.3,103.1
"49",45,12,0,"2389",85213,0,"广西壮族自治区",4754,4719,4682,4645,4610,14.07,14.28,14.2,13.71,14.13,75.11,75.11,75.11,75.11,75.11,33090,30741,27952,25326,20219,3.2,3.3,3.4,3.5,3.7,45424,41391,36386,33032,30673,8683.18,7793.08,6902.98,6012.88,5122.78,39.3,37.7,37.5,37.4,35,0,63,44,48,140,2052,1939,1834,1688,1530,57.3,57.3,57.3,57.3,57.3,228,228,228,228,228,228,102.1,102.2,103.2,105.9,103
"50",46,12,0,"2792",85213,0,"海南省",903,895,887,877,869,14.56,14.59,14.66,14.72,14.71,76.3,76.3,76.3,76.3,76.3,38924,35663,32377,28898,23831,2.3,2.2,2,1.7,3,49882,44971,39485,36244,30775,9912.57,8801.73,7690.89,6580.05,5469.21,41.3,42.1,41.2,41.8,42.6,0,0,0,0,3,2317,2253,2218,2079,2036,17.1,17.1,17.1,17.1,17.1,250,250,250,250,250,250,102.4,102.8,103.2,106.1,104.8
"51",50,12,0,"1954",85213,0,"重庆市",2991,2970,2945,2919,2885,10.67,10.37,10.86,9.88,9.17,75.7,75.7,75.7,75.7,75.7,47850,43223,38914,34500,27596,3.5,3.4,3.3,3.5,3.9,55588,50006,44498,39430,34727,9489.82,8492.55,7495.28,6498.01,5500.74,40.6,41.7,42.9,40.2,40.6,0,5,28,6,51,3017,2894,2734,2522,2413,56.9,56.9,56.9,56.9,56.9,256,256,256,256,256,256,101.8,102.7,102.6,105.3,103.2
"52",51,12,0,"1897",85213,0,"四川省",8140,8107,8076,8050,8045,10.22,9.9,9.89,9.79,8.93,74.75,74.75,74.75,74.75,74.75,35128,32617,29608,26133,21182,4.2,4.1,4,4.2,4.1,52555,47965,42339,37330,32567,9347.74,8380.69,7413.64,6446.59,5479.54,37.5,38.4,38.7,38.2,37.9,0,266,197,70,197,2244,2140,2037,1904,1790,189.3,189.3,189.3,189.3,189.3,210,210,210,210,210,210,101.6,102.8,102.5,105.3,103.2
"53",52,12,0,"2364",85213,0,"贵州省",3508,3502,3484,3469,3479,12.98,13.05,13.27,13.31,13.96,71.1,71.1,71.1,71.1,71.1,26437,23151,19710,16413,13119,3.3,3.3,3.3,3.6,3.6,52772,47364,41156,36102,30433,6671.22,5897.77,5124.32,4350.87,3577.42,34,34.5,32.8,32.3,29.6,0,53,25,10,123,1690,1535,1392,1254,1109,54.3,54.3,54.3,54.3,54.3,212,212,212,212,212,212,102.4,102.5,102.7,105.1,102.9
"54",53,12,0,"2923",85213,0,"云南省",4714,4687,4659,4631,4602,12.65,12.6,12.63,12.71,13.1,69.54,69.54,69.54,69.54,69.54,27264,25322,22195,19265,15752,4,4,4,4.1,4.2,46101,42447,37629,34004,29195,7456.13,6723.64,5991.15,5258.66,4526.17,38.1,37.8,39.3,38.7,37.3,0,105,145,50,277,1731,1662,1566,1520,1391,93.1,93.1,93.1,93.1,93.1,206,206,206,206,206,206,102.4,103.1,102.7,104.9,103.7
"55",54,12,0,"3740",85213,0,"西藏自治区",318,312,308,303,300,15.76,15.77,15.48,15.39,15.8,68.17,68.17,68.17,68.17,68.17,29252,26326,22936,20077,17027,2.5,2.5,2.6,3.2,4,61235,57773,51705,49464,49898,7359.2,6553.38,5747.56,4941.74,4135.92,43.8,18.1,32.4,24.1,25.4,0,83,0,3,7,1676,1528,1508,1446,1373,4.3,4.3,4.3,4.3,4.3,306,306,306,306,306,306,102.9,103.6,103.5,105,102.2
"56",61,12,0,"1107",85213,0,"陕西省",3775,3764,3753,3743,3735,10.13,10.01,10.12,9.75,9.73,74.68,74.68,74.68,74.68,74.68,46929,43117,38564,33464,27133,3.3,3.3,3.2,3.6,3.9,50535,47446,43073,38143,33384,7932.21,7092.2,6252.19,5412.18,4572.17,40.5,40.2,40.4,38.7,38.3,0,70,13,85,318,3652,3612,3525,3378,3208,84.6,84.6,84.6,84.6,84.6,284,284,284,284,284,284,101.6,103,102.8,105.7,104
"57",62,12,0,"1626",85213,0,"甘肃省",2591,2582,2578,2564,2560,12.21,12.16,12.11,12.08,12.05,72.23,72.23,72.23,72.23,72.23,26433,24539,21978,19595,16113,2.2,2.3,2.7,3.1,3.2,46960,42833,37679,32092,29096,6276.59,5588.78,4900.97,4213.16,3525.35,30.8,32.1,30,27.9,27.1,0,98,12,15,1821,2219,2193,2145,2041,1882,88.1,88.1,88.1,88.1,88.1,189,189,189,189,189,189,102.1,103.2,102.7,105.9,104.1
"58",63,12,0,"1897",85213,0,"青海省",583,578,573,568,563,14.67,14.16,14.3,14.43,14.94,69.96,69.96,69.96,69.96,69.96,39671,36875,33181,29522,24115,3.2,3.3,3.4,3.8,3.8,57084,51393,46483,41370,36121,7282.73,6461.59,5640.45,4819.31,3998.17,31.6,31.2,32.5,31.1,29.4,0,16,5,6,0,1220,1162,1133,1082,1119,23.5,23.5,23.5,23.5,23.5,232,232,232,232,232,232,102.8,103.9,103.1,106.1,105.4
"59",64,12,0,"1316",85213,0,"宁夏回族自治区",662,654,647,639,633,13.1,13.12,13.26,13.65,14.14,73.38,73.38,73.38,73.38,73.38,41834,39613,36394,33043,26860,4,4.1,4.2,4.4,4.4,54858,50476,47436,42703,37166,8410.02,7598.67,6787.32,5975.97,5164.62,38,38.5,38.4,37.5,38.8,0,0,0,0,0,2255,2195,2107,1912,1868,20.8,20.8,20.8,20.8,20.8,212,212,212,212,212,212,101.9,103.4,102,106.3,104.1
"60",65,12,0,"3330",85213,0,"新疆维吾尔自治区",2298,2264,2233,2209,2185,16.44,15.84,15.32,14.99,15.99,72.35,72.35,72.35,72.35,72.35,40648,37553,33796,30087,25034,3.2,3.4,3.4,3.2,3.2,53471,49064,44576,38238,32003,8723.83,7846.59,6969.35,6092.11,5214.87,36.8,36.4,35.9,36.6,36.4,0,4,34,9,13,1749,1681,1596,1521,1467,96,96,96,96,96,183,183,183,183,183,183,102.1,103.9,103.8,105.9,104.3
"61",11,13,0.397324206596142,"292",33969,1277,"北京市",2152,2115,2069,2019,1962,9.75,8.93,9.05,8.29,7.48,80.18,80.18,80.18,80.18,80.18,99995,94648,87475,81658,73856,1.3,1.2,1.3,1.4,1.4,102268,93006,84742,75482,65158,18867.3,17101.18,15335.06,13568.94,11802.82,49.1,47.1,46.2,45.6,44.15,0,0,5,0,0,5429,5469,5534,5613,6196,11.7,11.7,11.7,11.7,11.7,430,430,430,430,430,430,101.6,103.3,103.3,105.6,102.4
"62",12,13,0.122277535780958,"308",33969,393,"天津市",1517,1472,1413,1355,1299,8.19,8.28,8.75,8.58,8.18,78.89,78.89,78.89,78.89,78.89,105231,100105,93173,85213,72994,3.5,3.6,3.6,3.6,3.6,72773,67773,61514,55658,51489,17014.18,15352.6,13691.02,12029.44,10367.86,34.9,34.9,34.9,34.5,32.1,0,0,0,0,0,4283,4346,4358,4329,4412,18,18,18,18,18,450,450,450,450,450,450,101.9,103.1,102.7,104.9,103.5
"63",14,13,0.037025513378967,"218",33969,119,"山西省",3648,3630,3611,3593,3574,10.92,10.81,10.7,10.47,10.68,74.92,74.92,74.92,74.92,74.92,35070,34984,33628,31357,26283,3.4,3.1,3.3,3.5,3.6,48969,46407,44236,39230,33057,8809.44,7949.47,7089.5,6229.53,5369.56,40.1,40,38.6,38.3,38,0,29,14,23,4,2519,2474,2351,2202,2132,91.7,91.7,91.7,91.7,91.7,231,231,231,231,231,231,101.7,103.1,102.5,105.2,103
"64",15,13,0.0230242688238955,"736",33969,74,"内蒙古自治区",2505,2498,2490,2482,2472,9.31,8.98,9.17,8.94,9.3,74.44,74.44,74.44,74.44,74.44,71046,67836,63886,57974,47347,3.6,3.7,3.7,3.8,3.9,53748,50723,46557,41118,35211,9976.3,8984.92,7993.54,7002.16,6010.78,39.8,36.2,36.2,34.1,33.4,0,0,0,0,3,2156,2137,2042,1920,1884,84.8,84.8,84.8,84.8,84.8,299,299,299,299,299,299,101.6,103.2,103.1,105.6,103.2
"65",21,13,0.0115121344119477,"964",33969,37,"辽宁省",4391,4390,4389,4383,4375,6.49,6.09,6.15,5.71,6.68,76.38,76.38,76.38,76.38,76.38,65201,61996,56649,50760,42355,3.4,3.4,3.6,3.7,3.6,48190,45505,41858,38154,34437,11191.49,10161.21,9130.93,8100.65,7070.37,40.1,40.2,40.2,39.8,39.3,0,4,0,0,29,2933,2903,2811,2712,2671,118.6,118.6,118.6,118.6,118.6,296,296,296,296,296,296,101.7,102.4,102.8,105.2,103
"66",22,13,0.00466708151835719,"1259",33969,15,"吉林省",2752,2751,2750,2749,2747,6.62,5.36,5.73,6.53,7.91,76.18,76.18,76.18,76.18,76.18,50160,47428,43415,38460,31599,3.4,3.7,3.7,3.7,3.8,46516,42846,38407,33610,29003,10780.12,9780.68,8781.24,7781.8,6782.36,35.8,31.4,33.9,34.2,34.1,0,0,0,0,9,3168,3033,2889,2807,2716,115.6,115.6,115.6,115.6,115.6,228,228,228,228,228,228,102,102.9,102.5,105.2,103.7
"67",23,13,0.00280024891101431,"1510",33969,9,"黑龙江省",3833,3835,3834,3834,3833,7.37,6.86,7.3,6.99,7.35,75.98,75.98,75.98,75.98,75.98,39226,37697,35711,32819,27076,4.5,4.4,4.2,4.1,4.3,44036,40794,36406,31302,27735,10453.2,9369.01,8284.82,7200.63,6116.44,36,36,36,36.3,34.9,0,0,0,0,0,2555,2529,2441,2409,2447,155.6,155.6,155.6,155.6,155.6,240,240,240,240,240,240,101.5,102.2,103.2,105.8,103.9
"68",31,13,0.0413814561294337,"1118",33969,133,"上海市",2426,2415,2380,2347,2303,8.35,8.18,9.56,6.97,7.05,80.26,80.26,80.26,80.26,80.26,97370,90993,85373,82560,76074,4.1,4,3.1,3.5,4.4,100251,90908,78673,75591,66115,21191.64,19208.31,17224.98,15241.65,13258.32,38.4,38.4,38.3,38.2,38.2,0,0,0,0,0,3348,3421,3481,3556,4300,32.4,32.4,32.4,32.4,32.4,450,450,450,450,450,450,102.7,102.3,102.8,105.2,103.1
"69",32,13,0.00964530180460485,"942",33969,31,"江苏省",7960,7939,7920,7899,7869,9.45,9.44,9.44,9.59,9.73,76.63,76.63,76.63,76.63,76.63,81874,75354,68347,62290,52840,3,3,3.1,3.2,3.2,60867,57177,50639,45487,39772,14958.44,13521.29,12084.14,10646.99,9209.84,42.6,42.4,42.2,42.1,42.1,0,0,0,0,0,2858,2814,2786,2824,2819,40.9,40.9,40.9,40.9,40.9,342,342,342,342,342,342,102.2,102.3,102.6,105.3,103.8
"70",33,13,0.00248911014312383,"1200",33969,8,"浙江省",5508,5498,5477,5463,5447,10.51,10.01,10.12,9.47,10.27,77.73,77.73,77.73,77.73,77.73,73002,68805,63374,59249,51711,3,3,3,3.1,3.2,61572,56571,50197,45162,40640,19373.28,17493.92,15614.56,13735.2,11855.84,40.8,40.3,39.9,38.4,38.3,0,9,1,4,21,2408,2363,2288,2218,2285,8.8,8.8,8.8,8.8,8.8,367,367,367,367,367,367,102.1,102.3,102.2,105.4,103.8
"71",34,13,0.00186683260734287,"915",33969,6,"安徽省",6083,6030,5988,5968,5957,12.86,12.88,13,12.23,12.7,75.08,75.08,75.08,75.08,75.08,34425,32001,28792,25659,20888,3.2,3.4,3.7,3.7,3.7,50894,47806,44601,39352,33341,9916.42,8850,7783.58,6717.16,5650.74,41.2,39.9,38.8,39.5,37.5,0,2,5,2,12,2245,2203,2101,2007,1841,84.2,84.2,84.2,84.2,84.2,254,254,254,254,254,254,101.6,102.4,102.3,105.6,103.1
"72",35,13,0.00124455507156192,"1859",33969,4,"福建省",3806,3774,3748,3720,3693,13.7,12.2,12.74,11.41,11.27,75.76,75.76,75.76,75.76,75.76,63472,58145,52763,47377,40025,3.5,3.6,3.6,3.7,3.8,53426,48538,44525,38588,32340,12650.19,11404.85,10159.51,8914.17,7668.83,42.8,42.8,42,41.4,41,0,6,6,8,113,2513,2435,2301,2200,2144,18.1,18.1,18.1,18.1,18.1,218,218,218,218,218,218,102,102.5,102.4,105.3,103.2
"73",36,13,0.00528935905413815,"1278",33969,17,"江西省",4542,4522,4504,4488,4462,13.24,13.19,13.46,13.48,13.72,74.33,74.33,74.33,74.33,74.33,34674,31930,28800,26150,21253,3.3,3.2,3,3,3.3,46218,42473,38512,33239,28363,10116.58,9088.78,8060.98,7033.18,6005.38,44.6,45.1,46,46.8,46.6,0,6,5,5,120,2527,2381,2295,2212,2162,98.1,98.1,98.1,98.1,98.1,244,244,244,244,244,244,102.3,102.5,102.7,105.2,103
"74",37,13,0.00684505289359054,"300",33969,22,"山东省",9789,9733,9685,9637,9588,14.23,11.41,11.9,11.5,11.65,76.46,76.46,76.46,76.46,76.46,60879,56885,51768,47335,41106,3.3,3.2,3.3,3.4,3.4,51825,46998,41904,37618,33321,11882.26,10686.86,9491.46,8296.06,7100.66,42.8,42.6,42.1,41.5,41.5,0,0,0,6,0,2421,2304,2238,2191,2202,60.6,60.6,60.6,60.6,60.6,286,286,286,286,286,286,101.9,102.2,102.1,105,102.9
"75",41,13,0.00373366521468575,"418",33969,12,"河南省",9436,9413,9406,9388,9405,12.8,12.27,11.87,11.56,11.52,74.57,74.57,74.57,74.57,74.57,37072,34211,31499,28661,24446,3,3.1,3.1,3.4,3.4,42179,38301,37338,33634,29819,9966.07,8969.11,7972.15,6975.19,5978.23,38.3,37.6,36.9,36.6,36.6,0,1,0,1,10,2203,2114,2012,1901,1839,141.9,141.9,141.9,141.9,141.9,202,202,202,202,202,202,101.9,102.9,102.5,105.6,103.5
"76",42,13,0.0015556938394524,"955",33969,5,"湖北省",5816,5799,5779,5758,5728,11.86,11.08,11,10.39,10.36,74.87,74.87,74.87,74.87,74.87,47145,42826,38572,34197,27906,3.1,3.5,3.8,4.1,4.2,49838,43899,39846,36128,31811,10849.06,9691.8,8534.54,7377.28,6220.02,37.9,38.1,38.9,38.4,37.7,0,19,21,41,24,3121,3144,3078,2991,2906,137.2,137.2,137.2,137.2,137.2,252,252,252,252,252,252,102,102.8,102.9,105.8,102.9
"77",43,13,0.00186683260734287,"1240",33969,6,"湖南省",6737,6691,6639,6596,6570,13.52,13.5,13.58,13.35,13.1,74.7,74.7,74.7,74.7,74.7,40271,36943,33480,29880,24719,4.1,4.2,4.2,4.2,4.2,47117,42726,38971,34586,29670,10060.17,9028.55,7996.93,6965.31,5933.69,38.6,37.6,37,36.8,36.6,0,29,42,19,100,2160,2106,2087,2054,2051,145.1,145.1,145.1,145.1,145.1,214,214,214,214,214,214,101.9,102.5,102,105.5,103.1
"78",44,13,0.00466708151835719,"1902",33969,15,"广东省",10724,10644,10594,10505,10441,10.8,10.71,11.6,10.45,11.18,76.49,76.49,76.49,76.49,76.49,63469,58833,54095,50807,44736,2.4,2.4,2.5,2.5,2.5,59481,53318,50278,45060,40432,12245.56,11067.79,9890.02,8712.25,7534.48,41.4,41.5,41.2,41.1,41.3,0,45,33,2,50,2356,2199,2082,1978,2037,40,40,40,40,40,254,254,254,254,254,254,102.3,102.5,102.8,105.3,103.1
"79",45,13,0,"2096",33969,0,"广西壮族自治区",4754,4719,4682,4645,4610,14.07,14.28,14.2,13.71,14.13,75.11,75.11,75.11,75.11,75.11,33090,30741,27952,25326,20219,3.2,3.3,3.4,3.5,3.7,45424,41391,36386,33032,30673,8683.18,7793.08,6902.98,6012.88,5122.78,39.3,37.7,37.5,37.4,35,0,63,44,48,140,2052,1939,1834,1688,1530,57.3,57.3,57.3,57.3,57.3,228,228,228,228,228,228,102.1,102.2,103.2,105.9,103
"80",46,13,0,"2496",33969,0,"海南省",903,895,887,877,869,14.56,14.59,14.66,14.72,14.71,76.3,76.3,76.3,76.3,76.3,38924,35663,32377,28898,23831,2.3,2.2,2,1.7,3,49882,44971,39485,36244,30775,9912.57,8801.73,7690.89,6580.05,5469.21,41.3,42.1,41.2,41.8,42.6,0,0,0,0,3,2317,2253,2218,2079,2036,17.1,17.1,17.1,17.1,17.1,250,250,250,250,250,250,102.4,102.8,103.2,106.1,104.8
"81",50,13,0,"1650",33969,0,"重庆市",2991,2970,2945,2919,2885,10.67,10.37,10.86,9.88,9.17,75.7,75.7,75.7,75.7,75.7,47850,43223,38914,34500,27596,3.5,3.4,3.3,3.5,3.9,55588,50006,44498,39430,34727,9489.82,8492.55,7495.28,6498.01,5500.74,40.6,41.7,42.9,40.2,40.6,0,5,28,6,51,3017,2894,2734,2522,2413,56.9,56.9,56.9,56.9,56.9,256,256,256,256,256,256,101.8,102.7,102.6,105.3,103.2
"82",51,13,0,"1593",33969,0,"四川省",8140,8107,8076,8050,8045,10.22,9.9,9.89,9.79,8.93,74.75,74.75,74.75,74.75,74.75,35128,32617,29608,26133,21182,4.2,4.1,4,4.2,4.1,52555,47965,42339,37330,32567,9347.74,8380.69,7413.64,6446.59,5479.54,37.5,38.4,38.7,38.2,37.9,0,266,197,70,197,2244,2140,2037,1904,1790,189.3,189.3,189.3,189.3,189.3,210,210,210,210,210,210,101.6,102.8,102.5,105.3,103.2
"83",52,13,0,"2030",33969,0,"贵州省",3508,3502,3484,3469,3479,12.98,13.05,13.27,13.31,13.96,71.1,71.1,71.1,71.1,71.1,26437,23151,19710,16413,13119,3.3,3.3,3.3,3.6,3.6,52772,47364,41156,36102,30433,6671.22,5897.77,5124.32,4350.87,3577.42,34,34.5,32.8,32.3,29.6,0,53,25,10,123,1690,1535,1392,1254,1109,54.3,54.3,54.3,54.3,54.3,212,212,212,212,212,212,102.4,102.5,102.7,105.1,102.9
"84",53,13,0,"26119",33969,0,"云南省",4714,4687,4659,4631,4602,12.65,12.6,12.63,12.71,13.1,69.54,69.54,69.54,69.54,69.54,27264,25322,22195,19265,15752,4,4,4,4.1,4.2,46101,42447,37629,34004,29195,7456.13,6723.64,5991.15,5258.66,4526.17,38.1,37.8,39.3,38.7,37.3,0,105,145,50,277,1731,1662,1566,1520,1391,93.1,93.1,93.1,93.1,93.1,206,206,206,206,206,206,102.4,103.1,102.7,104.9,103.7
"85",54,13,0,"3436",33969,0,"西藏自治区",318,312,308,303,300,15.76,15.77,15.48,15.39,15.8,68.17,68.17,68.17,68.17,68.17,29252,26326,22936,20077,17027,2.5,2.5,2.6,3.2,4,61235,57773,51705,49464,49898,7359.2,6553.38,5747.56,4941.74,4135.92,43.8,18.1,32.4,24.1,25.4,0,83,0,3,7,1676,1528,1508,1446,1373,4.3,4.3,4.3,4.3,4.3,306,306,306,306,306,306,102.9,103.6,103.5,105,102.2
"86",61,13,0,"802",33969,0,"陕西省",3775,3764,3753,3743,3735,10.13,10.01,10.12,9.75,9.73,74.68,74.68,74.68,74.68,74.68,46929,43117,38564,33464,27133,3.3,3.3,3.2,3.6,3.9,50535,47446,43073,38143,33384,7932.21,7092.2,6252.19,5412.18,4572.17,40.5,40.2,40.4,38.7,38.3,0,70,13,85,318,3652,3612,3525,3378,3208,84.6,84.6,84.6,84.6,84.6,284,284,284,284,284,284,101.6,103,102.8,105.7,104
"87",62,13,0,"1321",33969,0,"甘肃省",2591,2582,2578,2564,2560,12.21,12.16,12.11,12.08,12.05,72.23,72.23,72.23,72.23,72.23,26433,24539,21978,19595,16113,2.2,2.3,2.7,3.1,3.2,46960,42833,37679,32092,29096,6276.59,5588.78,4900.97,4213.16,3525.35,30.8,32.1,30,27.9,27.1,0,98,12,15,1821,2219,2193,2145,2041,1882,88.1,88.1,88.1,88.1,88.1,189,189,189,189,189,189,102.1,103.2,102.7,105.9,104.1
"88",63,13,0,"1519",33969,0,"青海省",583,578,573,568,563,14.67,14.16,14.3,14.43,14.94,69.96,69.96,69.96,69.96,69.96,39671,36875,33181,29522,24115,3.2,3.3,3.4,3.8,3.8,57084,51393,46483,41370,36121,7282.73,6461.59,5640.45,4819.31,3998.17,31.6,31.2,32.5,31.1,29.4,0,16,5,6,0,1220,1162,1133,1082,1119,23.5,23.5,23.5,23.5,23.5,232,232,232,232,232,232,102.8,103.9,103.1,106.1,105.4
"89",64,13,0,"948",33969,0,"宁夏回族自治区",662,654,647,639,633,13.1,13.12,13.26,13.65,14.14,73.38,73.38,73.38,73.38,73.38,41834,39613,36394,33043,26860,4,4.1,4.2,4.4,4.4,54858,50476,47436,42703,37166,8410.02,7598.67,6787.32,5975.97,5164.62,38,38.5,38.4,37.5,38.8,0,0,0,0,0,2255,2195,2107,1912,1868,20.8,20.8,20.8,20.8,20.8,212,212,212,212,212,212,101.9,103.4,102,106.3,104.1
"90",65,13,0,"3206",33969,0,"新疆维吾尔自治区",2298,2264,2233,2209,2185,16.44,15.84,15.32,14.99,15.99,72.35,72.35,72.35,72.35,72.35,40648,37553,33796,30087,25034,3.2,3.4,3.4,3.2,3.2,53471,49064,44576,38238,32003,8723.83,7846.59,6969.35,6092.11,5214.87,36.8,36.4,35.9,36.6,36.4,0,4,34,9,13,1749,1681,1596,1521,1467,96,96,96,96,96,183,183,183,183,183,183,102.1,103.9,103.8,105.9,104.3
"91",11,14,0.141859215475551,"506",31357,264,"北京市",2152,2115,2069,2019,1962,9.75,8.93,9.05,8.29,7.48,80.18,80.18,80.18,80.18,80.18,99995,94648,87475,81658,73856,1.3,1.2,1.3,1.4,1.4,102268,93006,84742,75482,65158,18867.3,17101.18,15335.06,13568.94,11802.82,49.1,47.1,46.2,45.6,44.15,0,0,5,0,0,5429,5469,5534,5613,6196,11.7,11.7,11.7,11.7,11.7,430,430,430,430,430,430,101.6,103.3,103.3,105.6,102.4
"92",12,14,0.0279419666845782,"523",31357,52,"天津市",1517,1472,1413,1355,1299,8.19,8.28,8.75,8.58,8.18,78.89,78.89,78.89,78.89,78.89,105231,100105,93173,85213,72994,3.5,3.6,3.6,3.6,3.6,72773,67773,61514,55658,51489,17014.18,15352.6,13691.02,12029.44,10367.86,34.9,34.9,34.9,34.5,32.1,0,0,0,0,0,4283,4346,4358,4329,4412,18,18,18,18,18,450,450,450,450,450,450,101.9,103.1,102.7,104.9,103.5
"93",13,14,0.0166577109081139,"218",31357,31,"河北省",7384,7333,7288,7241,7194,13.18,13.04,12.88,13.02,13.22,74.97,74.97,74.97,74.97,74.97,39984,38909,36584,33969,28668,3.6,3.7,3.7,3.8,3.9,45114,41501,38658,35309,31451,10186.14,9187.71,8189.28,7190.85,6192.42,41.9,41.2,41,42.1,42.7,0,16,1,0,0,2098,2108,2063,2006,1951,88.1,88.1,88.1,88.1,88.1,265,265,265,265,265,265,101.7,103,102.6,105.7,103.1
"94",15,14,0.0505104782375067,"527",31357,94,"内蒙古自治区",2505,2498,2490,2482,2472,9.31,8.98,9.17,8.94,9.3,74.44,74.44,74.44,74.44,74.44,71046,67836,63886,57974,47347,3.6,3.7,3.7,3.8,3.9,53748,50723,46557,41118,35211,9976.3,8984.92,7993.54,7002.16,6010.78,39.8,36.2,36.2,34.1,33.4,0,0,0,0,3,2156,2137,2042,1920,1884,84.8,84.8,84.8,84.8,84.8,299,299,299,299,299,299,101.6,103.2,103.1,105.6,103.2
"95",21,14,0.00268672756582483,"1179",31357,5,"辽宁省",4391,4390,4389,4383,4375,6.49,6.09,6.15,5.71,6.68,76.38,76.38,76.38,76.38,76.38,65201,61996,56649,50760,42355,3.4,3.4,3.6,3.7,3.6,48190,45505,41858,38154,34437,11191.49,10161.21,9130.93,8100.65,7070.37,40.1,40.2,40.2,39.8,39.3,0,4,0,0,29,2933,2903,2811,2712,2671,118.6,118.6,118.6,118.6,118.6,296,296,296,296,296,296,101.7,102.4,102.8,105.2,103
"96",22,14,0.000537345513164965,"1473",31357,1,"吉林省",2752,2751,2750,2749,2747,6.62,5.36,5.73,6.53,7.91,76.18,76.18,76.18,76.18,76.18,50160,47428,43415,38460,31599,3.4,3.7,3.7,3.7,3.8,46516,42846,38407,33610,29003,10780.12,9780.68,8781.24,7781.8,6782.36,35.8,31.4,33.9,34.2,34.1,0,0,0,0,9,3168,3033,2889,2807,2716,115.6,115.6,115.6,115.6,115.6,228,228,228,228,228,228,102,102.9,102.5,105.2,103.7
"97",23,14,0.00107469102632993,"1725",31357,2,"黑龙江省",3833,3835,3834,3834,3833,7.37,6.86,7.3,6.99,7.35,75.98,75.98,75.98,75.98,75.98,39226,37697,35711,32819,27076,4.5,4.4,4.2,4.1,4.3,44036,40794,36406,31302,27735,10453.2,9369.01,8284.82,7200.63,6116.44,36,36,36,36.3,34.9,0,0,0,0,0,2555,2529,2441,2409,2447,155.6,155.6,155.6,155.6,155.6,240,240,240,240,240,240,101.5,102.2,103.2,105.8,103.9
"98",31,14,0.0472864051585169,"1327",31357,88,"上海市",2426,2415,2380,2347,2303,8.35,8.18,9.56,6.97,7.05,80.26,80.26,80.26,80.26,80.26,97370,90993,85373,82560,76074,4.1,4,3.1,3.5,4.4,100251,90908,78673,75591,66115,21191.64,19208.31,17224.98,15241.65,13258.32,38.4,38.4,38.3,38.2,38.2,0,0,0,0,0,3348,3421,3481,3556,4300,32.4,32.4,32.4,32.4,32.4,450,450,450,450,450,450,102.7,102.3,102.8,105.2,103.1
"99",32,14,0.015583019881784,"1095",31357,29,"江苏省",7960,7939,7920,7899,7869,9.45,9.44,9.44,9.59,9.73,76.63,76.63,76.63,76.63,76.63,81874,75354,68347,62290,52840,3,3,3.1,3.2,3.2,60867,57177,50639,45487,39772,14958.44,13521.29,12084.14,10646.99,9209.84,42.6,42.4,42.2,42.1,42.1,0,0,0,0,0,2858,2814,2786,2824,2819,40.9,40.9,40.9,40.9,40.9,342,342,342,342,342,342,102.2,102.3,102.6,105.3,103.8
